nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000467	Don Johnson	1949	\N	actor,producer,soundtrack	tt0072730,tt8946378,tt0086759,tt1853728
nm0000468	Lynn-Holly Johnson	1958	\N	actress,director	tt0082398,tt0081738,tt0077716,tt0088395
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt3748528,tt0086190,tt0099810,tt6105098
nm0000470	Jeffrey Jones	1946	\N	actor,soundtrack	tt0091042,tt0091225,tt0086879,tt0109707
nm0000471	Raul Julia	1940	1994	actor,soundtrack	tt0100404,tt0101272,tt0111301,tt0106220
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0032258,tt0023245,tt0026138,tt0024894
nm0000473	Diane Keaton	1946	\N	actress,producer,soundtrack	tt0356680,tt0073312,tt0337741,tt0075686
nm0000474	Michael Keaton	1951	\N	actor,miscellaneous,producer	tt0096895,tt4276820,tt2562232,tt1895587
nm0000475	Patsy Kensit	1968	\N	actress,soundtrack	tt0097733,tt0068069,tt0079268,tt0090585
nm0000476	Sally Kirkland	1941	\N	actress,producer,miscellaneous	tt7525642,tt0102138,tt3216866,tt0092569
nm0000477	Mia Kirshner	1975	\N	actress	tt3520702,tt0387877,tt0330251
nm0000478	Tawny Kitaen	1961	2021	actress,producer	tt2797190,tt0087903,tt0111999,tt0086927
nm0000479	Walter Koenig	1936	\N	actor,writer,producer	tt0060028,tt0092007,tt0102975,tt0084726
nm0000480	Elias Koteas	1961	\N	actor,producer	tt0120863,tt0100758,tt0822854,tt0114194
nm0000481	Alice Krige	1954	\N	actress,producer,writer	tt1981115,tt0117731,tt0105428,tt9086228
nm0000482	Sylvia Kristel	1952	2012	actress,soundtrack,director	tt0081249,tt0077497,tt0078740,tt0071464
nm0000483	Christopher Lambert	1957	\N	actor,producer,writer	tt0120604,tt0091203,tt0106950,tt0113855
nm0000484	John Landis	1950	\N	producer,director,actor	tt0086491,tt0118747,tt0067716,tt0080455
nm0000485	Fritz Lang	1890	1976	director,writer,producer	tt0019415,tt0057345,tt0017136,tt0022100
nm0000486	Heather Langenkamp	1964	\N	actress,special_effects,make_up_department	tt13444912,tt0111686,tt0094490,tt0087800
nm0000487	Ang Lee	1954	\N	director,producer,writer	tt0190332,tt0454876,tt0114388,tt0808357
nm0000488	Brandon Lee	1965	1993	actor,miscellaneous	tt0105219,tt0099978,tt0109506,tt0102915
nm0000489	Christopher Lee	1922	2015	actor,soundtrack,producer	tt0121765,tt0167261,tt0070917,tt0120737
nm0000490	Spike Lee	1957	\N	director,producer,writer	tt0091939,tt0097216,tt0104797,tt9777644
nm0000491	John Leguizamo	1964	\N	actor,writer,producer	tt0120177,tt0117509,tt0162677,tt0203009
nm0000492	Jennifer Jason Leigh	1962	\N	actress,producer,soundtrack	tt0108122,tt0105414,tt0109642,tt3460252
nm0000493	Jack Lemmon	1925	2001	actor,soundtrack,producer	tt0053291,tt0107050,tt0053604,tt0104348
nm0000494	Robert Sean Leonard	1969	\N	actor,soundtrack	tt0108265,tt0107616,tt0412142,tt0097165
nm0000495	Téa Leoni	1966	\N	actress,producer	tt0218967,tt0371246,tt0120647,tt0163025
nm0000496	Juliette Lewis	1973	\N	actress,soundtrack,director	tt0110632,tt1322269,tt0101540,tt0116367
nm0000497	Jennifer Lien	1974	\N	actress,producer,miscellaneous	tt0112178,tt0120586,tt0133189,tt0106100
nm0000498	Matthew Lillard	1970	\N	actor,producer,soundtrack	tt0133189,tt1033575,tt0267913,tt0331632
nm0000499	Bai Ling	1966	\N	actress,producer,writer	tt0109506,tt1121931,tt0405336,tt0119994
nm0000500	Richard Linklater	1960	\N	producer,director,writer	tt2209418,tt1065073,tt0405296,tt0243017
nm0000501	Ray Liotta	1954	2022	actor,producer,soundtrack	tt0365686,tt0272207,tt0099685,tt0091983
nm0000502	Christopher Lloyd	1938	\N	actor,soundtrack	tt0106220,tt0096438,tt0088763,tt0088930
nm0000503	Emily Lloyd	1970	\N	actress	tt0105265,tt0120490,tt0310952,tt0094331
nm0000504	Amy Locane	1971	\N	actress,soundtrack	tt0099329,tt0103491,tt0105327,tt0274812
nm0000505	Nia Long	1970	\N	actress,soundtrack,director	tt0168501,tt0181984,tt0208003,tt2083355
nm0000506	Julia Louis-Dreyfus	1961	\N	actress,producer,soundtrack	tt0098904,tt1759761,tt0462128,tt2390361
nm0000507	Rob Lowe	1964	\N	actor,producer,soundtrack	tt0105793,tt0086066,tt0090060,tt1291580
nm0000508	Carey Lowell	1961	\N	actress	tt0098844,tt0113627,tt0108160,tt0097742
nm0000509	Bela Lugosi	1882	1956	actor,costume_department,soundtrack	tt0021814,tt0045826,tt0024894,tt0024188
nm0000510	Andie MacDowell	1958	\N	actress,producer,soundtrack	tt0098724,tt0102070,tt0107048,tt0109831
nm0000511	Shirley MacLaine	1934	\N	actress,soundtrack,writer	tt0048750,tt0098384,tt0086425,tt0053604
nm0000512	Elle Macpherson	1964	\N	producer,actress	tt0117057,tt0111201,tt0118688,tt0119051
nm0000513	William H. Macy	1950	\N	actor,writer,soundtrack	tt0175880,tt0118749,tt1586680,tt0116282
nm0000514	Michael Madsen	1957	\N	actor,producer,writer	tt3460252,tt0105236,tt0266697,tt0114508
nm0000515	Virginia Madsen	1961	\N	actress,producer,soundtrack	tt0087182,tt0103919,tt0114194,tt0375063
nm0000516	Lee Majors	1939	\N	actor,music_department,producer	tt0071054,tt0058791,tt0096061,tt0081859
nm0000517	Terrence Malick	1943	\N	producer,writer,director	tt0069762,tt0077405,tt0120863,tt0478304
nm0000518	John Malkovich	1953	\N	actor,producer,writer	tt0887883,tt0107206,tt0094947,tt0120601
nm0000519	David Mamet	1947	\N	writer,producer,director	tt0120885,tt0093223,tt0104348,tt0120202
nm0000520	Michael Mann	1943	\N	producer,writer,director	tt0104691,tt0369339,tt0091474,tt0140352
nm0000521	Sophie Marceau	1966	\N	actress,director,writer	tt1194616,tt0082100,tt0143145,tt0112573
nm0000522	Vanessa Marcil	1968	\N	actress	tt0117500,tt0056758,tt0098749,tt0364828
nm0000523	Julianna Margulies	1966	\N	actress,producer,soundtrack	tt0288477,tt0417148,tt0108757,tt1174730
nm0000524	Mary Stuart Masterson	1966	\N	actress,producer,director	tt0101921,tt0094006,tt0073747,tt0106387
nm0000525	Heather Matarazzo	1982	\N	actress,director,producer	tt0498353,tt0114906,tt0120577,tt0247638
nm0000526	Samantha Mathis	1970	\N	actress,executive,soundtrack	tt0115759,tt0144084,tt0108255,tt0100436
nm0000527	Walter Matthau	1920	2000	actor,soundtrack,director	tt0056923,tt0072251,tt0060424,tt0063374
nm0000528	Mathilda May	1965	\N	actress,miscellaneous,soundtrack	tt0089489,tt0092797,tt0102130,tt0119395
nm0000529	Debi Mazar	1964	\N	actress,make_up_department,producer	tt0106375,tt0140352,tt0112950,tt1674771
nm0000530	Andrew McCarthy	1962	\N	actor,director,producer	tt0098627,tt2372162,tt2741602,tt0091790
nm0000531	Frances McDormand	1957	\N	actress,producer,soundtrack	tt0181875,tt5027774,tt1748122,tt0116282
nm0000532	Malcolm McDowell	1943	\N	actor,producer,soundtrack	tt0373883,tt0111280,tt0080025,tt0066921
nm0000533	Gates McFadden	1949	\N	actress,miscellaneous,director	tt8806524,tt0112060,tt0091369,tt0092455
nm0000534	Kelly McGillis	1957	\N	actress,producer,soundtrack	tt1464580,tt0090329,tt0092099,tt0094608
nm0000535	Rose McGowan	1973	\N	actress,soundtrack,producer	tt0158552,tt1077258,tt0462322,tt0155776
nm0000536	Robert Duncan McNeill	1964	\N	actor,producer,director	tt0093507,tt0387054,tt0112178,tt2197797
nm0000537	Steve McQueen	1930	1980	actor,producer,soundtrack	tt0062765,tt0070511,tt0054047,tt0057115
nm0000538	Colm Meaney	1953	\N	actor,producer,soundtrack	tt0106145,tt0375912,tt0105690,tt0118880
nm0000539	Dina Meyer	1968	\N	actress,producer	tt0113481,tt0387564,tt0120201,tt0253754
nm0000540	Russ Meyer	1922	2004	director,cinematographer,producer	tt0054859,tt0059170,tt0075376,tt0078846
nm0000541	Bette Midler	1945	\N	soundtrack,actress,producer	tt0116313,tt0107120,tt0094715,tt0091877
nm0000542	Penelope Ann Miller	1964	\N	actress,soundtrack	tt0099938,tt0099615,tt1655442,tt0106519
nm0000543	Sal Mineo	1939	1976	actor,soundtrack,music_department	tt0049261,tt0053804,tt0067065,tt0048545
nm0000544	Carmen Miranda	1909	1955	soundtrack,actress,miscellaneous	tt0036881,tt0035916,tt0040271,tt0039277
nm0000545	Helen Mirren	1945	\N	actress,director,producer	tt1245526,tt0436697,tt0280707,tt0975645
nm0000546	Matthew Modine	1959	\N	actor,producer,director	tt0093058,tt0112760,tt2932536,tt1345836
nm0000547	Alfred Molina	1953	\N	actor,producer,soundtrack	tt0175880,tt0120679,tt0316654,tt0118749
nm0000548	Elizabeth Montgomery	1933	1995	actress,soundtrack,miscellaneous	tt0057733,tt0076981,tt0073273,tt0071868
nm0000549	Roger Moore	1927	2017	actor,miscellaneous,producer	tt0079574,tt0071807,tt0086034,tt0076752
nm0000550	Kate Mulgrew	1955	\N	actress,producer,writer	tt2372162,tt0253754,tt0112178,tt0089901
nm0000551	Dermot Mulroney	1963	\N	actor,soundtrack,music_department	tt0096487,tt0119738,tt1322269,tt0356680
nm0000552	Eddie Murphy	1961	\N	actor,writer,producer	tt0443489,tt0126029,tt0117218,tt0094898
nm0000553	Liam Neeson	1952	\N	actor,soundtrack,producer	tt0108052,tt0362269,tt0429493,tt1601913
nm0000554	Sam Neill	1947	\N	actor,producer,director	tt4698684,tt0107822,tt0163025,tt0107290
nm0000555	Judd Nelson	1959	\N	actor,writer,producer	tt0102526,tt0088847,tt0090060,tt0092106
nm0000556	Olivia Newton-John	1948	\N	soundtrack,actress,music_department	tt0119094,tt0086494,tt0081777,tt0077631
nm0000557	Brigitte Nielsen	1963	\N	actress,soundtrack,producer	tt0089893,tt5073058,tt0092644
nm0000558	Leslie Nielsen	1926	2010	actor,producer,soundtrack	tt0120901,tt0102510,tt0080339,tt0095705
nm0000559	Leonard Nimoy	1931	2015	actor,director,producer	tt0102975,tt0088170,tt0092007,tt0796366
nm0000560	Nick Nolte	1941	\N	actor,producer	tt0120863,tt1291584,tt0102713,tt0118564
nm0000561	Peter North	1957	\N	actor,director,producer	tt0128316,tt0199096,tt0160323,tt0183057
nm0000562	Jeremy Northam	1961	\N	actor,soundtrack	tt0155388,tt0280707,tt0284978,tt0116191
nm0000563	Chris O'Donnell	1970	\N	actor,producer,director	tt0108333,tt0105323,tt0118688,tt0190865
nm0000564	Peter O'Toole	1932	2013	actor,soundtrack,producer	tt0332452,tt0063227,tt0081568,tt0056172
nm0000565	Lena Olin	1955	\N	actress	tt0096332,tt0107983,tt0241303,tt0285333
nm0000566	Julia Ormond	1965	\N	actress,producer	tt0110322,tt1655420,tt0421715,tt0114319
nm0065855	Simon Beckord	1989	\N	actor	tt0806910,tt0277327,tt0096587,tt1008628
nm0065856	Anna Beckova	1947	\N	producer,production_manager,script_department	tt1474831,tt0288900,tt0203745,tt1058550
nm0065857	Matija Beckovic	1939	\N	writer,actor	tt1145427,tt9648272,tt0181028,tt0238531
nm0065858	Olja Beckovic	1964	\N	actress	tt0094242,tt0106458,tt0181121,tt0105602
nm0065859	Naomi Beckperl	\N	\N	actress	tt0186314
nm0065860	André Beckrich	\N	\N	stunts	tt0087683
nm0065861	Ron Becks	\N	\N	actor,producer,director	tt0296662,tt5768058,tt6567472,tt0290615
nm0065862	Alex Beckstead	\N	\N	producer,director,editor	tt0383677,tt1337679,tt0472267,tt1348319
nm0065863	Joan Beckstead	\N	\N	actress	tt0037690,tt0037970
nm0065864	Linda Kay Beckstein	\N	\N	art_department	tt0106471
nm0065865	Jodie Beckstine-Killian	\N	\N	make_up_department,actress,costume_department	tt14142434,tt0241453,tt0355364,tt8841616
nm0065866	Jared Beckstrand	\N	\N	animation_department,art_department	tt0114148,tt0119282,tt0133240,tt0780521
nm0065867	Andy Beckstrom	\N	\N	actor,assistant_director,producer	tt0172949
nm0065868	Danielle Beckstrom	\N	\N	actress	tt0129695,tt0149380
nm0065869	Ron Beckstrom	\N	\N	director	tt0148705
nm0065871	William Beckway	1881	1945	cinematographer	tt0010430,tt0029728,tt0026975,tt0132948
nm0065872	Aaron Beckwith	\N	\N	casting_department,producer,casting_director	tt0202179,tt0072855,tt0075686,tt0077742
nm0065873	Alan Beckwith	1952	\N	actor,miscellaneous	tt0074801,tt0075504,tt0081674,tt0078966
nm0065874	Andy Beckwith	\N	\N	actor	tt0208092,tt5691024,tt0944947,tt1355631
nm0065875	Antonio Beckwith	\N	\N	actor	tt0155285
nm0065876	Bainard Beckwith	1901	1981	actor	tt0016406
nm0065877	David Beckwith	1953	2005	art_department	tt0115988
nm0065878	Michael Beckwith	\N	\N	producer,actor,sound_department	tt0119383,tt0846789,tt1528734,tt2004216
nm0065879	Elizabeth Beckwith	\N	\N	writer,producer,actress	tt5592146,tt0200550,tt2712740,tt1780849
nm0065880	Frank Beckwith	\N	\N	miscellaneous	tt0031908,tt0030225,tt0029253,tt0030731
nm0065881	Jessica Beckwith	\N	\N	actress	tt0234811
nm0065882	Jill Hanson Beckwith	\N	\N	miscellaneous	tt0120211
nm0065883	John Francis Beckwith	\N	\N	writer	tt0215475
nm0065884	Laurence Beckwith	\N	\N	art_department,art_director	tt0100911,tt0302973
nm0065885	Mildred Beckwith	\N	\N	actress	tt0007829,tt0009013
nm0065886	Pat Beckwith	\N	\N	actor	tt0077235
nm0065887	Peter Beckwith	\N	\N	producer,writer,actor	tt0179861,tt0228040,tt0182374,tt0370295
nm0065888	Reginald Beckwith	1908	1965	actor,writer	tt0059800,tt0053759,tt0057547,tt0059237
nm0065889	Robert E. Beckwith	\N	\N	actor,cinematographer,director	tt2320640,tt19721192,tt1568341,tt0285403
nm0065890	Tamara Beckwith	1970	\N	actress	tt0160395,tt3306084,tt0120388,tt0202183
nm0065891	Tom Beckwith	\N	\N	miscellaneous	tt0112368
nm0065892	Troy Beckwith	1975	\N	actor	tt0156231,tt0108709,tt0088580,tt0101145
nm0065893	Walter Beckwith	\N	\N	actor,miscellaneous	tt0145502,tt0011341,tt0492188,tt0467281
nm0065894	William Beckwith	\N	\N	actor	tt0096261,tt0114733,tt0105323,tt14207604
nm0065895	Katie Beckwith-Smith	\N	\N	costume_department	tt0191498
nm0065896	Alan Beckworth	\N	\N	actor,miscellaneous	tt0096565,tt0122690
nm0065897	Lloyd Beckworth	\N	\N	cinematographer	tt0210030
nm0065898	Becky	\N	\N	actress	tt0252955,tt0252295
nm0065899	Dave Becky	\N	\N	producer,miscellaneous,manager	tt1492966,tt7520794,tt4799050,tt5024912
nm0065900	David Becky	\N	\N	transportation_department	tt0105957
nm0065901	Judith Becle	\N	\N	actress	tt1686687,tt0169462,tt0092823,tt3805856
nm0065902	Maria Becoates-Bey	\N	\N	actress	tt0905994,tt0102128,tt0126253,tt2017109
nm0065903	Claude Bécognée	1933	\N	cinematographer,camera_department,actor	tt0088300,tt0202793,tt0204792,tt0241423
nm0065904	Olivier Becquaert	1976	\N	actor	tt0082370
nm0065905	Marco Becquer	\N	\N	producer	tt0247759
nm0065906	Kevin Becquet	\N	\N	editor,visual_effects,editorial_department	tt0165275,tt0165179,tt0252338,tt0165985
nm0065907	Patience Becquet	\N	\N	actress,make_up_department,transportation_department	tt0115141,tt7020868,tt3077268,tt0252338
nm0065908	Valérie Becquet	\N	\N	actress	tt0173275
nm0065909	Charlotte Becquin	\N	\N	actress	tt0253146,tt0216983,tt0101152,tt0321440
nm0065910	Maxwell Becraft	1945	2007	animation_department,director,actor	tt0106364,tt0106140,tt0106842,tt0138224
nm0065911	Todd Becraft	\N	\N	actor,assistant_director,miscellaneous	tt0120197,tt0116167
nm0065912	Mike Becroft	\N	\N	art_director,art_department,production_designer	tt9691136,tt6306064,tt1288558,tt0095709
nm0065913	Diana Becronis	\N	\N	actress	tt0095755
nm0065914	Peter Becronis	\N	\N	producer	tt0095755
nm0065915	Cyril Bectarte	\N	\N	miscellaneous	tt0116418,tt0117958
nm0065916	David Becton	\N	\N	art_department,miscellaneous	tt0119978,tt0219699,tt0146984,tt0119668
nm0065917	Shelton Becton	\N	\N	actor,music_department,soundtrack	tt0093683,tt0119282,tt0094881,tt0478995
nm0065918	Susan Becton	\N	\N	miscellaneous,actress	tt0099165,tt0080736,tt0091993,tt0206275
nm0065919	Will Becton	\N	\N	miscellaneous,editor,editorial_department	tt0478090,tt1334221,tt1522196,tt2249135
nm0065920	Natalie Becuer	\N	\N	actress	tt0085371
nm0065921	Paula Becvar	\N	\N	actress	tt0126810
nm0065922	George Becwar	1917	1970	actor	tt0047898,tt0047767,tt0051311,tt0052378
nm0065923	Judit Beczássy	1888	1961	writer	tt0039350
nm0065924	Marek Beczek	\N	\N	cinematographer	tt0239086
nm0065926	Allison Beda	\N	\N	camera_department,producer,editorial_department	tt2699362,tt0417148,tt0343818,tt2899508
nm0065927	Galina Beda	1946	\N	art_director,director,writer	tt0375072,tt11779612,tt0069653,tt0389571
nm0065928	Thomas Beda	\N	\N	actor	tt0086991
nm0065929	Valerie Beda	\N	\N	miscellaneous	tt0112998,tt0356414,tt0117716,tt0126698
nm0065930	Claudia Bedacarratz	\N	\N	actress	tt0104662
nm0065931	Gayle Bedall	\N	\N	actress	tt9359688,tt0228454,tt9278070,tt0244565
nm0065932	Rod Bedall	\N	\N	actor	tt0091538,tt0084503
nm0065934	Art Bedard	1931	1999	actor	tt0057582,tt0052707
nm0065935	Bob Bedard	\N	\N	miscellaneous,executive	tt0298814,tt0120667,tt1375666,tt0343818
nm0065936	Bridget Bedard	\N	\N	actress	tt0110843
nm0065937	Christiane Bedard	\N	\N	actress	tt0093116
nm0065938	Claude Bédard	\N	\N	actor	tt0090467,tt0170965,tt0170966,tt0110554
nm0065939	David Bedard	\N	\N	actor	tt0129723,tt1618463,tt0163495,tt0170908
nm0065940	George Bedard	\N	\N	actor	tt0408839,tt0183505,tt0109686,tt0129387
nm0065941	Hervé Bédard	\N	\N	animation_department,art_director,producer	tt0211793,tt0088563,tt0163438,tt0090506
nm0065942	Irene Bedard	1967	\N	actress,producer,executive	tt0110297,tt5848272,tt0114148,tt0409572
nm0065943	Jim Bedard	\N	\N	actor	tt0094608
nm0065944	Lyse Bédard	1948	\N	costume_designer,costume_department	tt0104678,tt0102848,tt0295633,tt0173532
nm0065945	Louise Bedard	\N	\N	location_management,production_manager,miscellaneous	tt0113776,tt1153111,tt0366532,tt0337692
nm0065946	Mathew Bedard	\N	\N	miscellaneous	tt0240679
nm0065947	Michael Bedard	\N	\N	sound_department	tt0094737,tt0087755,tt0096463,tt0099077
nm0065948	Myrei Bedard	\N	\N	actress	tt0105944
nm0065949	Philip Bedard	\N	\N	producer,writer,miscellaneous	tt0224902,tt0118359,tt1091909,tt0159797
nm0065950	Pierre Bedard	\N	1970	assistant_director,production_manager	tt0018747
nm0065951	Pierre Bedard	\N	\N	actor	tt0104782
nm0065952	Virginia Bedard	1894	1980	actress	tt1351968,tt0044330,tt4773272,tt0049005
nm0065953	Ina Bedart	\N	\N	actress	tt0081176
nm0065954	Simon Bedasie	\N	\N	actor	tt0104464
nm0065955	Danielle Bedau	\N	\N	actress	tt0102803
nm0065956	Charles Bedaux Jr.	\N	\N		\N
nm0065957	Charles Bedaux	1887	1944		\N
nm0065958	Fern Bedaux	\N	\N		\N
nm0065959	Steve Bedaux	\N	\N	sound_department,camera_department,miscellaneous	tt2555256,tt2948356,tt13064558,tt8547768
nm0065960	Steven M. Bedaux	\N	\N	camera_department	tt0115210,tt0116723
nm0065961	Eugene Beday	1880	1975	actor	tt0028757,tt0034167,tt0038873,tt0048960
nm0065962	Dagmar Bedbur	\N	\N	director,writer	tt0090440,tt0158434,tt0303489
nm0065963	Helen Bedd	\N	\N	actress	tt0147375,tt0180153,tt0133621,tt0134458
nm0065964	Hellen Bedd	\N	\N	actress	tt0125028
nm0065965	Rodney Beddal	1946	\N	actor	tt0133385,tt0120884,tt0097524,tt2226485
nm0065966	Jamie Beddard	\N	\N	actor,producer	tt0180073,tt5636358,tt4806572,tt6846238
nm0065967	Pierre Bedenes	1951	\N	actor	tt0083067,tt0064382,tt0073629,tt0279834
nm0065968	Melanie Beddie	\N	\N	actress	tt0108709,tt0110738,tt2433738,tt1282024
nm0065969	Sally Bedding	\N	\N	art_department,set_decorator,miscellaneous	tt1196326,tt0093974,tt0285335,tt0094518
nm0065970	Thomas Bedding	\N	\N	writer	tt0009674,tt0184557
nm0065971	Carol Beddington	\N	\N	actress	tt0087469,tt0087589
nm0065972	Andrew Beddini	\N	\N	visual_effects,miscellaneous,special_effects	tt0451079,tt0848537,tt0358082,tt0120913
nm0065973	Brenda Beddison	\N	\N	actress	tt0076945,tt0082285,tt0129685,tt0064238
nm0065974	Charles Beddoe	\N	\N	cinematographer	tt0253130,tt0223279,tt0265894
nm0065975	Don Beddoe	1903	1991	actor	tt0042367,tt0044954,tt0048424,tt0036868
nm0065976	Nicola Beddoe	\N	\N	actress	tt0093674,tt9545536,tt1484951,tt0109290
nm0065977	Sharmain Beddoe	\N	\N	actress	tt0100924
nm0065978	Ivor Beddoes	1909	1981	art_department,visual_effects,art_director	tt0080684,tt0078346,tt0054167,tt0081573
nm0065979	Greg Beddome	\N	\N	actor	tt0235419
nm0065980	Frank Beddor	1958	\N	producer,writer,actor	tt1549930,tt0088794,tt0129387,tt2459408
nm0065981	Jean-Pierre Beddouck	\N	\N	actor	tt3805856
nm0065982	Julien Beddouk	\N	\N	actor	tt0234859
nm0065983	Laurent Beddouk	\N	\N	actor	tt0234859
nm0065984	Mathew Beddown	\N	\N	location_management	tt0095565
nm0065985	George Beddows	\N	\N	actor	tt0165003,tt0072209
nm0065986	John Beddows	\N	\N	actor	tt0093058
nm0065987	Hacène Beddrouh	\N	\N	actor	tt0249380
nm0065988	Claude Bede	1929	1996	actor	tt0233582,tt0098900,tt0348926,tt0058853
nm0065989	John Bede	\N	\N	art_department	tt0089489
nm0065990	Ronald Bede	\N	\N	art_department	tt0104940,tt0414387,tt0120616,tt0096895
nm0065991	Vishram Bedekar	1906	1998	director,writer,producer	tt0037209,tt0133188,tt0362070,tt0156128
nm0065992	Christian Bedel	\N	\N	actor	tt0099478,tt0103107
nm0065993	Dan Bedell	\N	\N	actor	tt0244637
nm0065994	Marie-Anne Bedel	\N	\N	miscellaneous	tt0325948,tt0102557,tt0102583
nm0065995	Maurice Bedel	1883	1954	writer	tt0020634,tt0167523,tt7666876
nm0065996	Austin Bedell	\N	\N	make_up_department	tt0039052,tt0038981,tt0039210,tt0039979
nm0065997	Charles Bedell	\N	\N	actor	tt0040111,tt0190081
nm0065998	David Bedell	1927	1989	actor	tt0052493
nm0065999	Hohn Bedell	\N	\N	camera_department	tt0118703,tt0112456
nm0066000	Lauralinda Bedell	\N	\N	actress	tt0160229
nm0066001	Lew Bedell	1919	2000	actor,soundtrack	tt4820284
nm0066002	Mark Bedell	\N	\N	stunts,special_effects,actor	tt0758762,tt0800003,tt0098084,tt0288968
nm0066003	Patsy Bedell	\N	\N	actress	tt0034862,tt0029047,tt0031907,tt0031298
nm0066004	Rodney Bedell	\N	\N	actor	tt3619220,tt0061733,tt0063595,tt0063167
nm0066005	Stephen Bedell	1939	\N	music_department,producer	tt0080732,tt0112483,tt0106393,tt0099541
nm0066006	Walter 'Red' Bedell	\N	\N	transportation_department,miscellaneous	tt0388482,tt1135985,tt0256415,tt0101540
nm0066007	Mrs. Bedells	\N	\N	actress	tt0148448,tt0168741
nm0066008	Phyllis Bedells	1893	1985	actress	tt0145879,tt2361231
nm0066009	Dennis Beden	1951	2016	actor	tt0070510
nm0066010	Fiamma Bedendo	\N	\N	costume_designer,costume_department,production_designer	tt0408067,tt0074902,tt0078288,tt0073339
nm0066012	Dan Beder	\N	\N	actor,producer	tt0109792,tt0096109
nm0066013	Edwin Bederman	\N	\N	actor	tt0081283
nm0066014	Eric Bederman	\N	\N	actor	tt0094824
nm0066015	Evan Bederman	\N	\N	actor	tt0094824
nm0066016	Michael Bederman	\N	\N	producer,production_manager,miscellaneous	tt9686708,tt0385887,tt10245072,tt1895587
nm0066017	András Bederna	\N	\N	editorial_department,miscellaneous,camera_department	tt0249241,tt0111341,tt0396886,tt0096863
nm0066018	Henry Bederski	1910	2003	actor,director,writer	tt0189439,tt0322531,tt0072979,tt0228621
nm0066019	Randy Bedes	\N	\N	special_effects	tt0081457
nm0066020	Michel Bedetti	\N	\N	actor	tt0066523,tt0197140,tt0338968,tt0369124
nm0066021	Pit Bedewitz	\N	\N		\N
nm0066022	Serge Bedez	\N	\N	actor	tt0040704
nm0066023	John Bedford Lloyd	1956	\N	actor	tt0086465,tt0115333,tt0372183,tt0096754
nm0066024	Barbara Bedford	1903	1981	actress,soundtrack	tt0018210,tt0014503,tt0011387,tt0017442
nm0066025	Bart Bedford	\N	\N	actor,miscellaneous	tt0332047,tt0292506,tt0401997,tt0452694
nm0066026	Bill Bedford	\N	\N	actor,assistant	tt0167448,tt4073616
nm0066027	Brad Bedford	1961	\N	actor	tt0202179,tt0057731
nm0066028	Brian Bedford	1935	2016	actor,soundtrack,miscellaneous	tt0060472,tt0113987,tt0061242,tt0070608
nm0066029	Cal Bedford	\N	\N	actor	tt0087967
nm0066030	Cheryl Bedford	\N	\N	producer,production_manager,miscellaneous	tt3449500,tt0378816,tt0847851,tt2106616
nm0066031	David Bedford	1937	2011	music_department,composer,soundtrack	tt0087553,tt0091530,tt0090585,tt0107756
nm0066032	E. Bedford	\N	\N	art_director	tt0004595
nm0066033	Harry Bedford	1873	1939	soundtrack	tt0024659,tt0483097
nm0066034	James Gavin Bedford	\N	\N	editor,editorial_department,sound_department	tt0398571,tt0246890,tt0097138,tt0126916
nm0066035	Jane Bedford	\N	\N	actress,miscellaneous	tt0095063,tt0095564
nm0066036	Jill Bedford	\N	\N	art_department	tt0091343,tt0100318,tt0102492,tt0113870
nm0066037	John Bedford	\N	\N		tt0158274
nm0066038	Kurtis Bedford	\N	\N	actor,producer,art_department	tt0492896,tt1458169,tt0117571,tt1764336
nm0066039	Lori Bedford	\N	\N	actress	tt0105104
nm0066040	Lou Bedford	1930	2005	actor	tt12606372,tt0087555,tt0137458,tt0105104
nm0066041	Louise Bedford	\N	\N	talent_agent	\N
nm0066042	Luther Bedford	1936	2006		tt0110057
nm0066043	Mark Bedford	1961	\N	actor,soundtrack	tt0139803,tt0307453,tt5580540,tt0337879
nm0066044	Melvyn Bedford	\N	\N	actor	tt0088512,tt0118312,tt0271295,tt0056751
nm0066045	Patrick Bedford	1932	1999	actor	tt0062425,tt0172062,tt0074962,tt0210026
nm0066046	Peter Lehmann Bedford	\N	\N	actor,music_department	tt0165593,tt0128794,tt12517804
nm0066047	Richard Bedford	\N	\N	editor	tt0095183,tt0090585,tt3559452,tt0093895
nm0066048	Russell Bedford	\N	\N	actor	tt0088580,tt0109222
nm0066049	Sadie Bedford	1911	2004	actress	tt0122255
nm0066050	Shayne Radford	\N	\N	art_director,production_designer,make_up_department	tt0085994,tt1560139,tt0096446,tt0110729
nm0066051	Simi Bedford	\N	\N	location_management	tt0096180
nm0066052	Steve Bedford	\N	\N	art_department	tt0241492,tt0353104,tt0491807,tt0185102
nm0066053	Susan E. Bedford	\N	\N	actress	tt0107216
nm0066054	T.K. Bedford	\N	\N	camera_department	tt0325968,tt0380510,tt0110005,tt0364751
nm0066055	Terry Bedford	1943	\N	director,assistant_director,cinematographer	tt0115289,tt0088135,tt0071853,tt0076221
nm0066056	John Russell	1917	2002		tt0053494,tt0056105,tt0379128,tt0313513
nm0066057	Willie Bedford	\N	\N	cinematographer	tt0149366
nm0066058	Winston Bedford	\N	\N	actor	tt0105104
