tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt9248108	tvEpisode	Be Your Own Boss	Be Your Own Boss	0	2018	\N	\N	Comedy
tt9248110	movie	Blood and Money	Allagash	0	2020	\N	89	Drama,Thriller
tt9248112	tvEpisode	Episode #2.211	Episode #2.211	0	2018	\N	\N	Comedy,News
tt9248114	tvEpisode	Episode #2.25	Episode #2.25	0	1977	\N	\N	Comedy,Family,Game-Show
tt9248116	tvEpisode	Fantastic Beasts and Where to Find Them	Fantastic Beasts and Where to Find Them	0	2018	\N	\N	Comedy
tt9248118	movie	Killing the Dead	Matar a un Muerto	0	2019	\N	87	Thriller
tt9248120	tvEpisode	Episode #2.26	Episode #2.26	0	1977	\N	\N	Comedy,Family,Game-Show
tt9248122	tvEpisode	Musical Tour of Europe	Musical Tour of Europe	0	1974	\N	\N	Family,Music
tt9248124	tvEpisode	Jeopardy - Part 1: Some Hard AI	Jeopardy - Part 1: Some Hard AI	0	2018	\N	\N	Comedy
tt9248126	tvEpisode	Episode #2.27	Episode #2.27	0	1977	\N	\N	Comedy,Family,Game-Show
tt9248128	tvEpisode	Episode #2.28	Episode #2.28	0	1977	\N	\N	Comedy,Family,Game-Show
tt9248130	short	Triumph of the Kill	Triumph of the Kill	0	2009	\N	\N	Horror,Short
tt9248132	tvEpisode	Grant Morrison on The Green Lantern. Plus, Echo Kellum and Nafessa Williams join us	Grant Morrison on The Green Lantern. Plus, Echo Kellum and Nafessa Williams join us	0	2018	\N	\N	News
tt9248136	short	Hard Impact	Hard Impact	0	2009	\N	16	Action,Short
tt9248138	tvEpisode	Episode #2.29	Episode #2.29	0	1977	\N	\N	Comedy,Family,Game-Show
tt9248140	short	Street Agents	Street Agents	0	2019	\N	\N	Drama,Short
tt9248142	tvEpisode	Episode #2.30	Episode #2.30	0	1977	\N	\N	Comedy,Family,Game-Show
tt9248144	short	Real Drifters Love the Sauce	Real Drifters Love the Sauce	0	2019	\N	9	Documentary,Short
tt9248146	short	Vajra	Vajra	0	\N	\N	22	Action,Fantasy,Horror
tt9248148	tvSeries	Life's Wonders	Life's Wonders	0	2019	\N	45	Talk-Show
tt9248150	short	The Specialists	The Specialists	0	2019	\N	\N	Drama,Short
tt9248152	movie	Blue Monet	Blue Monet	0	2006	\N	53	\N
tt9248156	tvEpisode	Tribute to Glenn Miller	Tribute to Glenn Miller	0	1974	\N	\N	Family,Music
tt9248158	tvEpisode	Piratages de notes universitaires	Piratages de notes universitaires	0	2018	\N	\N	Drama
tt9248160	tvSeries	Your Financial Questions Answered	Your Financial Questions Answered	0	2018	2019	\N	Short
tt9248162	tvSeries	Undertow	Undertow	0	2019	\N	40	Drama,Horror
tt9248164	tvEpisode	Épisode 329	Épisode 329	0	2018	\N	29	Crime,Thriller
tt9248166	movie	The Dreams That Cried Death 2	The Dreams That Cried Death 2	0	\N	\N	\N	Horror
tt9248170	tvEpisode	DIY Locker Hacks	DIY Locker Hacks	0	2017	\N	\N	Comedy
tt9248172	short	Mad Management	Mad Management	0	2019	\N	\N	Comedy,Short
tt9248174	tvEpisode	School Style	School Style	0	2017	\N	\N	Comedy
tt9248176	tvEpisode	iPhone Hacks	iPhone Hacks	0	2017	\N	\N	Comedy
tt9248182	short	For the Defense	For the Defense	0	2019	\N	\N	Drama,Short
tt9248184	video	Faceless	Faceless	0	1988	\N	6	Music,Short
tt9248186	tvEpisode	Rainy Day Hacks	Rainy Day Hacks	0	2017	\N	\N	Comedy
tt9248188	movie	Costumes Required	Costumes Required	0	\N	\N	\N	Comedy
tt9248192	short	New Age Family	New Age Family	0	2019	\N	\N	Comedy,Short
tt9248194	video	Swell Investing: Do you know what you're invested in?	Swell Investing: Do you know what you're invested in?	0	2018	\N	\N	Short
tt9248196	tvEpisode	Best Slimes Ever!	Best Slimes Ever!	0	2017	\N	\N	Comedy
tt9248198	tvEpisode	Épisode 53	Épisode 53	0	2018	\N	21	Comedy,Crime,Drama
tt9248200	tvEpisode	Episode dated 10 October 1973	Episode dated 10 October 1973	0	1973	\N	\N	Drama
tt9248202	tvEpisode	DIY Fall Room Decor	DIY Fall Room Decor	0	2017	\N	\N	Comedy
tt9248204	tvEpisode	Episode dated 17 October 1973	Episode dated 17 October 1973	0	1973	\N	\N	Drama
tt9248206	tvEpisode	Episode dated 7 November 1973	Episode dated 7 November 1973	0	1973	\N	\N	Drama
tt9248208	tvEpisode	Episode dated 31 October 1973	Episode dated 31 October 1973	0	1973	\N	\N	Drama
tt9248210	tvEpisode	Episode dated 24 October 1973	Episode dated 24 October 1973	0	1973	\N	\N	Drama
tt9248212	tvEpisode	Episode dated 21 November 1973	Episode dated 21 November 1973	0	1973	\N	\N	Drama
tt9248214	tvEpisode	Episode dated 14 November 1973	Episode dated 14 November 1973	0	1973	\N	\N	Drama
tt9248216	tvEpisode	Episode dated 28 November 1973	Episode dated 28 November 1973	0	1973	\N	\N	Drama
tt9248218	tvEpisode	Episode dated 5 December 1973	Episode dated 5 December 1973	0	1973	\N	\N	Drama
tt9248220	tvEpisode	Episode dated 12 December 1973	Episode dated 12 December 1973	0	1973	\N	\N	Drama
tt9248222	tvEpisode	Halloween Pranks	Halloween Pranks	0	2017	\N	\N	Comedy
tt9248224	short	Squared Off	Squared Off	0	2017	\N	6	Comedy,Short
tt9248226	tvEpisode	DIY Halloween Decorations	DIY Halloween Decorations	0	2017	\N	\N	Comedy
tt9248228	tvEpisode	The Holocaust	The Holocaust	0	1992	\N	\N	Drama,Talk-Show
tt9248230	tvEpisode	Best Halloween Costumes	Best Halloween Costumes	0	2017	\N	\N	Comedy
tt9248232	tvEpisode	Halloween Candy	Halloween Candy	0	2017	\N	\N	Comedy
tt9248234	tvEpisode	DIY Shoes	DIY Shoes	0	2017	\N	\N	Comedy
tt9248236	tvEpisode	Waffle Iron Hacks	Waffle Iron Hacks	0	2017	\N	\N	Comedy
tt9248238	tvEpisode	All Shook Up	All Shook Up	0	2019	\N	\N	Comedy,Sport
tt9248240	tvEpisode	Thanksgiving Food Pranks	Thanksgiving Food Pranks	0	2017	\N	\N	Comedy
tt9248244	tvEpisode	DIY Gifts for Friends	DIY Gifts for Friends	0	2017	\N	\N	Comedy
tt9248246	tvEpisode	Halloween 2018	Halloween 2018	0	2018	\N	\N	Talk-Show
tt9248248	tvEpisode	Star Wars Crafts	Star Wars Crafts	0	2017	\N	\N	Comedy
